x,y,z,xh,yh,zh,f_xyz,image_name
496.9617,53.02593994140623,86.89207000000071,170.54677106601346,-0.13300005721127353,179.97785503866749,"[0,15,0,1519,916,280123,766003,0]",pos0-0-visibility-20
496.9617,103.02593994140622,86.8920700000006,172.7183679625317,-0.13374366446626368,179.9829106350214,"[0,86110,0,1229,2475,25602,933160,0]",pos0-0-visibility-70
496.9617,53.02593994140623,86.8920700000005,-179.8657174460489,-0.13483068565589634,-179.99968400071674,"[0,12,3596,25579,90144,443376,485869,0]",pos0-1-visibility-20
496.9617,103.02593994140622,86.89207000000042,-177.6481779648777,-0.1347174866394965,-179.99446714361727,"[0,323059,1,1471,4686,73692,645667,0]",pos0-1-visibility-70
496.9617000000001,53.02593994140623,86.89207000000033,179.81964039862686,-20.625833796152786,179.93646568151087,"[0,1537,2076,22344,63018,448655,510946,0]",pos0-2-visibility-20
496.9617000000001,103.02593994140622,86.89207000000027,-175.62065339151363,-20.570756354869616,-178.45862436181596,"[0,408246,0,95,96,55597,584542,0]",pos0-2-visibility-70
496.96170000000006,53.02593994140623,86.89207000000023,166.8097669871803,-20.12595527143026,175.38949954118212,"[0,158,0,0,0,178302,870116,0]",pos0-3-visibility-20
496.96170000000006,103.02593994140622,86.89207000000019,171.20958111946405,-20.403726871012257,176.91408325816474,"[0,96766,0,65,54,0,951691,0]",pos0-3-visibility-70
496.9616999999999,53.02593994140623,86.89207000000012,162.09276695842362,45.85667303736365,-166.9450561036032,"[311300,0,383,214,72,243749,492858,0]",pos0-4-visibility-20
496.9616999999999,103.02593994140622,86.8920700000001,171.1040228468509,46.9312065578695,-173.47678462153632,"[396709,0,328,1367,2706,40705,606533,228]",pos0-4-visibility-70
496.96169999999995,53.02593994140623,86.89207000000009,-179.42231545565116,47.27552099103248,179.57561199225114,"[248521,0,397,848,135692,480006,183112,0]",pos0-5-visibility-20
496.96169999999995,103.02593994140622,86.89207000000007,-169.97985306741924,46.83776817669399,172.65615368035125,"[538048,0,10283,15214,12160,247410,225056,405]",pos0-5-visibility-70
497.0183949211061,53.21303939819334,91.697522823639,170.52020371462717,-0.1309957427251539,179.9781263333844,"[0,1,0,816,760,276695,770304,0]",pos1-0-visibility-20
497.0183949211061,103.21303939819333,91.69752282363899,172.6996576065535,-0.13173282495709945,179.98312385114056,"[0,83652,0,1218,2491,25071,936144,0]",pos1-0-visibility-70
497.0183949211061,53.21303939819334,91.69752282363899,-179.85688186308192,-0.1328090020190667,-179.99966825829745,"[0,1,4258,11164,80766,463279,489108,0]",pos1-1-visibility-20
497.0183949211061,103.21303939819333,91.69752282363898,-177.63108201143476,-0.13269591781379203,-179.99451050830277,"[0,330176,0,1581,5030,64351,647438,0]",pos1-1-visibility-70
497.0183949211061,53.21303939819334,91.69752282363896,179.83547386844222,-20.767011779907282,179.94166404737527,"[0,2500,2564,1085,71123,458476,512828,0]",pos1-2-visibility-20
497.0183949211061,103.21303939819333,91.69752282363896,-175.56984494496731,-20.71031483862493,-178.43056858343476,"[0,426689,0,87,90,36592,585118,0]",pos1-2-visibility-70
497.0183949211061,53.21303939819334,91.69752282363896,166.72782906328746,-20.25803468405301,175.33089352042083,"[0,137,0,0,0,173863,874576,0]",pos1-3-visibility-20
497.0183949211061,103.21303939819333,91.69752282363895,171.15959203451922,-20.54109223787655,176.87633220633114,"[0,93633,0,54,46,0,954843,0]",pos1-3-visibility-70
497.0183949211061,53.21303939819334,91.69752282363895,161.85316737535373,46.28481381607466,-166.6725280970629,"[310572,0,508,47,6,241087,496356,0]",pos1-4-visibility-20
497.0183949211061,103.21303939819333,91.69752282363895,170.9970391755529,47.38890542998938,-173.34908620511993,"[395815,0,243,1012,2624,39677,609000,205]",pos1-4-visibility-70
497.0183949211061,53.21303939819334,91.69752282363895,-179.37661771570305,47.74091866433454,179.5386193391405,"[245500,0,444,185,147436,469108,185903,0]",pos1-5-visibility-20
497.0183949211061,103.21303939819333,91.69752282363893,-169.78501489179268,47.286646072857934,172.4577945263143,"[534753,0,10111,15515,12885,249856,225026,430]",pos1-5-visibility-70
501.0432567970276,52.83794021606443,87.6057161734772,170.533515538115,0.04569161004479653,-179.99238132099984,"[0,0,0,1299,951,275370,770956,0]",pos2-0-visibility-20
501.0432567970276,102.83794021606442,87.60571617347719,172.70617102758015,0.045947594345928724,-179.99411900798123,"[0,87105,0,1329,2582,24218,933342,0]",pos2-0-visibility-70
501.0432567970276,52.83794021606443,87.60571617347719,-179.87399065791763,0.04632231759326943,179.99989812419716,"[0,0,3064,28891,105147,420888,490586,0]",pos2-1-visibility-20
501.0432567970276,102.83794021606442,87.60571617347719,-177.65521225974575,0.04628364475021216,179.99810481786994,"[0,331898,0,1794,5076,64145,645663,0]",pos2-1-visibility-70
501.0432567970276,52.83794021606443,87.60571617347719,179.8022389221292,-20.319716523908742,179.93132556948592,"[0,366,0,13377,36656,489554,508623,0]",pos2-2-visibility-20
501.0432567970276,102.83794021606442,87.60571617347719,-175.63277955756624,-20.26563380745056,-178.4847296237646,"[0,412026,0,89,83,51604,584774,0]",pos2-2-visibility-70
